#;Nome;Tipo 1;Tipo 2;Total;Ataque;Defesa;Atq Esp;Def Esp;Velocidade;Geracao;Lendario
115;Kangaskhan;Normal;;490;95;80;40;80;90;1;False
115;KangaskhanMega Kangaskhan;Normal;;590;125;100;60;100;100;1;False
116;Horsea;Agua;;295;40;70;70;25;60;1;False
117;Seadra;Agua;;440;65;95;95;45;85;1;False
118;Goldeen;Agua;;320;67;60;35;50;63;1;False
119;Seaking;Agua;;450;92;65;65;80;68;1;False
120;Staryu;Agua;;340;45;55;70;55;85;1;False
121;Starmie;Agua;Psiquico;520;75;85;100;85;115;1;False
122;Mr. Mime;Psiquico;Fada;460;45;65;100;120;90;1;False
123;Scyther;Inseto;Voador;500;110;80;55;80;105;1;False
124;Jynx;Gelo;Psiquico;455;50;35;115;95;95;1;False
125;Electabuzz;Electric;;490;83;57;95;85;105;1;False
126;Magmar;Fogo;;495;95;57;100;85;93;1;False
127;Pinsir;Inseto;;500;125;100;55;70;85;1;False
127;PinsirMega Pinsir;Inseto;Voador;600;155;120;65;90;105;1;False
128;Tauros;Normal;;490;100;95;40;70;110;1;False
129;Magikarp;Agua;;200;10;55;15;20;80;1;False
130;Gyarados;Agua;Voador;540;125;79;60;100;81;1;False
130;GyaradosMega Gyarados;Agua;Noturno;640;155;109;70;130;81;1;False
131;Lapras;Agua;Gelo;535;85;80;85;95;60;1;False
132;Ditto;Normal;;288;48;48;48;48;48;1;False
133;Eevee;Normal;;325;55;50;45;65;55;1;False
134;Vaporeon;Agua;;525;65;60;110;95;65;1;False
135;Jolteon;Electric;;525;65;60;110;95;130;1;False
136;Flareon;Fogo;;525;130;60;95;110;65;1;False
137;Porygon;Normal;;395;60;70;85;75;40;1;False
138;Omanyte;Pedra;Agua;355;40;100;90;55;35;1;False
139;Omastar;Pedra;Agua;495;60;125;115;70;55;1;False
140;Kabuto;Pedra;Agua;355;80;90;55;45;55;1;False
141;Kabutops;Pedra;Agua;495;115;105;65;70;80;1;False
142;Aerodactyl;Pedra;Voador;515;105;65;60;75;130;1;False
142;AerodactylMega Aerodactyl;Pedra;Voador;615;135;85;70;95;150;1;False
143;Snorlax;Normal;;540;110;65;65;110;30;1;False
144;Articuno;Gelo;Voador;580;85;100;95;125;85;1;True
145;Zapdos;Electric;Voador;580;90;85;125;90;100;1;True
146;Moltres;Fogo;Voador;580;100;90;125;85;90;1;True
147;Dratini;Dragao;;300;64;45;50;50;50;1;False
148;Dragaoair;Dragao;;420;84;65;70;70;70;1;False
149;Dragaoite;Dragao;Voador;600;134;95;100;100;80;1;False
150;Mewtwo;Psiquico;;680;110;90;154;90;130;1;True
150;MewtwoMega Mewtwo X;Psiquico;Lutador;780;190;100;154;100;130;1;True
150;MewtwoMega Mewtwo Y;Psiquico;;780;150;70;194;120;140;1;True
151;Mew;Psiquico;;600;100;100;100;100;100;1;False
152;Chikorita;Planta;;318;49;65;49;65;45;2;False
153;Bayleef;Planta;;405;62;80;63;80;60;2;False
154;Meganium;Planta;;525;82;100;83;100;80;2;False
155;Cyndaquil;Fogo;;309;52;43;60;50;65;2;False
156;Quilava;Fogo;;405;64;58;80;65;80;2;False
157;Typhlosion;Fogo;;534;84;78;109;85;100;2;False
158;Totodile;Agua;;314;65;64;44;48;43;2;False
159;Croconaw;Agua;;405;80;80;59;63;58;2;False
160;Feraligatr;Agua;;530;105;100;79;83;78;2;False
161;Sentret;Normal;;215;46;34;35;45;20;2;False
162;Furret;Normal;;415;76;64;45;55;90;2;False
163;Hoothoot;Normal;Voador;262;30;30;36;56;50;2;False
164;Noctowl;Normal;Voador;442;50;50;76;96;70;2;False
165;Ledyba;Inseto;Voador;265;20;30;40;80;55;2;False
166;Ledian;Inseto;Voador;390;35;50;55;110;85;2;False
167;Spinarak;Inseto;Venenoso;250;60;40;40;40;30;2;False
168;Ariados;Inseto;Venenoso;390;90;70;60;60;40;2;False
169;Crobat;Venenoso;Voador;535;90;80;70;80;130;2;False
170;Chinchou;Agua;Electric;330;38;38;56;56;67;2;False
171;Lanturn;Agua;Electric;460;58;58;76;76;67;2;False
172;Pichu;Electric;;205;40;15;35;35;60;2;False
173;Cleffa;Fada;;218;25;28;45;55;15;2;False
174;Igglybuff;Normal;Fada;210;30;15;40;20;15;2;False
175;Togepi;Fada;;245;20;65;40;65;20;2;False
176;Togetic;Fada;Voador;405;40;85;80;105;40;2;False
177;Natu;Psiquico;Voador;320;50;45;70;45;70;2;False
178;Xatu;Psiquico;Voador;470;75;70;95;70;95;2;False
179;Mareep;Electric;;280;40;40;65;45;35;2;False
180;Flaaffy;Electric;;365;55;55;80;60;45;2;False
181;Ampharos;Electric;;510;75;85;115;90;55;2;False
181;AmpharosMega Ampharos;Electric;Dragao;610;95;105;165;110;45;2;False
182;Bellossom;Planta;;490;80;95;90;100;50;2;False
183;Marill;Agua;Fada;250;20;50;20;50;40;2;False
184;Azumarill;Agua;Fada;420;50;80;60;80;50;2;False
185;Sudowoodo;Pedra;;410;100;115;30;65;30;2;False
186;Politoed;Agua;;500;75;75;90;100;70;2;False
187;Hoppip;Planta;Voador;250;35;40;35;55;50;2;False
188;Skiploom;Planta;Voador;340;45;50;45;65;80;2;False
189;Jumpluff;Planta;Voador;460;55;70;55;95;110;2;False
190;Aipom;Normal;;360;70;55;40;55;85;2;False
191;Sunkern;Planta;;180;30;30;30;30;30;2;False
192;Sunflora;Planta;;425;75;55;105;85;30;2;False
193;Yanma;Inseto;Voador;390;65;45;75;45;95;2;False
194;Wooper;Agua;Terra;210;45;45;25;25;15;2;False
195;Quagsire;Agua;Terra;430;85;85;65;65;35;2;False
196;Espeon;Psiquico;;525;65;60;130;95;110;2;False
197;Umbreon;Noturno;;525;65;110;60;130;65;2;False
198;Murkrow;Noturno;Voador;405;85;42;85;42;91;2;False
199;Slowking;Agua;Psiquico;490;75;80;100;110;30;2;False
200;Misdreavus;Fantasma;;435;60;60;85;85;85;2;False
201;Unown;Psiquico;;336;72;48;72;48;48;2;False
202;Wobbuffet;Psiquico;;405;33;58;33;58;33;2;False
203;Girafarig;Normal;Psiquico;455;80;65;90;65;85;2;False
204;Pineco;Inseto;;290;65;90;35;35;15;2;False
205;Forretress;Inseto;Metalico;465;90;140;60;60;40;2;False
206;Dunsparce;Normal;;415;70;70;65;65;45;2;False
207;Gligar;Terra;Voador;430;75;105;35;65;85;2;False
208;Metalicoix;Metalico;Terra;510;85;200;55;65;30;2;False
208;MetalicoixMega Metalicoix;Metalico;Terra;610;125;230;55;95;30;2;False
209;Snubbull;Fada;;300;80;50;40;40;30;2;False
210;Granbull;Fada;;450;120;75;60;60;45;2;False
211;Qwilfish;Agua;Venenoso;430;95;75;55;55;85;2;False
212;Scizor;Inseto;Metalico;500;130;100;55;80;65;2;False
212;ScizorMega Scizor;Inseto;Metalico;600;150;140;65;100;75;2;False
213;Shuckle;Inseto;Pedra;505;10;230;10;230;5;2;False
214;Heracross;Inseto;Lutador;500;125;75;40;95;85;2;False
214;HeracrossMega Heracross;Inseto;Lutador;600;185;115;40;105;75;2;False
215;Sneasel;Noturno;Gelo;430;95;55;35;75;115;2;False
216;Teddiursa;Normal;;330;80;50;50;50;40;2;False
217;Ursaring;Normal;;500;130;75;75;75;55;2;False
218;Slugma;Fogo;;250;40;40;70;40;20;2;False
219;Magcargo;Fogo;Pedra;410;50;120;80;80;30;2;False
220;Swinub;Gelo;Terra;250;50;40;30;30;50;2;False
221;Piloswine;Gelo;Terra;450;100;80;60;60;50;2;False
222;Corsola;Agua;Pedra;380;55;85;65;85;35;2;False
223;Remoraid;Agua;;300;65;35;65;35;65;2;False
224;Octillery;Agua;;480;105;75;105;75;45;2;False
225;Delibird;Gelo;Voador;330;55;45;65;45;75;2;False
226;Mantine;Agua;Voador;465;40;70;80;140;70;2;False
227;Skarmory;Metalico;Voador;465;80;140;40;70;70;2;False
228;Houndour;Noturno;Fogo;330;60;30;80;50;65;2;False
229;Houndoom;Noturno;Fogo;500;90;50;110;80;95;2;False
229;HoundoomMega Houndoom;Noturno;Fogo;600;90;90;140;90;115;2;False
230;Kingdra;Agua;Dragao;540;95;95;95;95;85;2;False
231;Phanpy;Terra;;330;60;60;40;40;40;2;False
232;Donphan;Terra;;500;120;120;60;60;50;2;False
233;Porygon2;Normal;;515;80;90;105;95;60;2;False
234;Stantler;Normal;;465;95;62;85;65;85;2;False
235;Smeargle;Normal;;250;20;35;20;45;75;2;False
236;Tyrogue;Lutador;;210;35;35;35;35;35;2;False
237;Hitmontop;Lutador;;455;95;95;35;110;70;2;False
238;Smoochum;Gelo;Psiquico;305;30;15;85;65;65;2;False
239;Elekid;Electric;;360;63;37;65;55;95;2;False
240;Magby;Fogo;;365;75;37;70;55;83;2;False
241;Miltank;Normal;;490;80;105;40;70;100;2;False
242;Blissey;Normal;;540;10;10;75;135;55;2;False
243;Raikou;Electric;;580;85;75;115;100;115;2;True
244;Entei;Fogo;;580;115;85;90;75;100;2;True
245;Suicune;Agua;;580;75;115;90;115;85;2;True
246;Larvitar;Pedra;Terra;300;64;50;45;50;41;2;False
247;Pupitar;Pedra;Terra;410;84;70;65;70;51;2;False
248;Tyranitar;Pedra;Noturno;600;134;110;95;100;61;2;False
248;TyranitarMega Tyranitar;Pedra;Noturno;700;164;150;95;120;71;2;False
249;Lugia;Psiquico;Voador;680;90;130;90;154;110;2;True
250;Ho-oh;Fogo;Voador;680;130;90;110;154;90;2;True
251;Celebi;Psiquico;Planta;600;100;100;100;100;100;2;False
252;Treecko;Planta;;310;45;35;65;55;70;3;False
253;Grovyle;Planta;;405;65;45;85;65;95;3;False
254;Sceptile;Planta;;530;85;65;105;85;120;3;False
254;SceptileMega Sceptile;Planta;Dragao;630;110;75;145;85;145;3;False
255;Torchic;Fogo;;310;60;40;70;50;45;3;False
256;Combusken;Fogo;Lutador;405;85;60;85;60;55;3;False
257;Blaziken;Fogo;Lutador;530;120;70;110;70;80;3;False
257;BlazikenMega Blaziken;Fogo;Lutador;630;160;80;130;80;100;3;False
258;Mudkip;Agua;;310;70;50;50;50;40;3;False
259;Marshtomp;Agua;Terra;405;85;70;60;70;50;3;False
260;Swampert;Agua;Terra;535;110;90;85;90;60;3;False
260;SwampertMega Swampert;Agua;Terra;635;150;110;95;110;70;3;False
261;Poochyena;Noturno;;220;55;35;30;30;35;3;False
262;Mightyena;Noturno;;420;90;70;60;60;70;3;False
263;Zigzagoon;Normal;;240;30;41;30;41;60;3;False
264;Linoone;Normal;;420;70;61;50;61;100;3;False
265;Wurmple;Inseto;;195;45;35;20;30;20;3;False
266;Silcoon;Inseto;;205;35;55;25;25;15;3;False
267;Beautifly;Inseto;Voador;395;70;50;100;50;65;3;False
268;Cascoon;Inseto;;205;35;55;25;25;15;3;False
269;Dustox;Inseto;Venenoso;385;50;70;50;90;65;3;False
270;Lotad;Agua;Planta;220;30;30;40;50;30;3;False
271;Lombre;Agua;Planta;340;50;50;60;70;50;3;False
272;Ludicolo;Agua;Planta;480;70;70;90;100;70;3;False
273;Seedot;Planta;;220;40;50;30;30;30;3;False
274;Nuzleaf;Planta;Noturno;340;70;40;60;40;60;3;False
275;Shiftry;Planta;Noturno;480;100;60;90;60;80;3;False
276;Taillow;Normal;Voador;270;55;30;30;30;85;3;False
277;Swellow;Normal;Voador;430;85;60;50;50;125;3;False
278;Wingull;Agua;Voador;270;30;30;55;30;85;3;False
279;Pelipper;Agua;Voador;430;50;100;85;70;65;3;False
280;Ralts;Psiquico;Fada;198;25;25;45;35;40;3;False
281;Kirlia;Psiquico;Fada;278;35;35;65;55;50;3;False
282;Gardevoir;Psiquico;Fada;518;65;65;125;115;80;3;False
282;GardevoirMega Gardevoir;Psiquico;Fada;618;85;65;165;135;100;3;False
283;Surskit;Inseto;Agua;269;30;32;50;52;65;3;False
284;Masquerain;Inseto;Voador;414;60;62;80;82;60;3;False
285;Shroomish;Planta;;295;40;60;40;60;35;3;False
286;Breloom;Planta;Lutador;460;130;80;60;60;70;3;False
287;Slakoth;Normal;;280;60;60;35;35;30;3;False
288;Vigoroth;Normal;;440;80;80;55;55;90;3;False
289;Slaking;Normal;;670;160;100;95;65;100;3;False
290;Nincada;Inseto;Terra;266;45;90;30;30;40;3;False
291;Ninjask;Inseto;Voador;456;90;45;50;50;160;3;False
292;Shedinja;Inseto;Fantasma;236;90;45;30;30;40;3;False
293;Whismur;Normal;;240;51;23;51;23;28;3;False
294;Loudred;Normal;;360;71;43;71;43;48;3;False
295;Exploud;Normal;;490;91;63;91;73;68;3;False
296;Makuhita;Lutador;;237;60;30;20;30;25;3;False
297;Hariyama;Lutador;;474;120;60;40;60;50;3;False
298;Azurill;Normal;Fada;190;20;40;20;40;20;3;False
299;Nosepass;Pedra;;375;45;135;45;90;30;3;False
300;Skitty;Normal;;260;45;45;35;35;50;3;False
301;Delcatty;Normal;;380;65;65;55;55;70;3;False
302;Sableye;Noturno;Fantasma;380;75;75;65;65;50;3;False
302;SableyeMega Sableye;Noturno;Fantasma;480;85;125;85;115;20;3;False
303;Mawile;Metalico;Fada;380;85;85;55;55;50;3;False
303;MawileMega Mawile;Metalico;Fada;480;105;125;55;95;50;3;False
304;Aron;Metalico;Pedra;330;70;100;40;40;30;3;False
305;Lairon;Metalico;Pedra;430;90;140;50;50;40;3;False
306;Aggron;Metalico;Pedra;530;110;180;60;60;50;3;False
306;AggronMega Aggron;Metalico;;630;140;230;60;80;50;3;False
307;Meditite;Lutador;Psiquico;280;40;55;40;55;60;3;False
308;Medicham;Lutador;Psiquico;410;60;75;60;75;80;3;False
308;MedichamMega Medicham;Lutador;Psiquico;510;100;85;80;85;100;3;False
309;Electrike;Electric;;295;45;40;65;40;65;3;False
310;Manectric;Electric;;475;75;60;105;60;105;3;False
310;ManectricMega Manectric;Electric;;575;75;80;135;80;135;3;False
311;Plusle;Electric;;405;50;40;85;75;95;3;False
312;Minun;Electric;;405;40;50;75;85;95;3;False
313;Volbeat;Inseto;;400;73;55;47;75;85;3;False
314;Illumise;Inseto;;400;47;55;73;75;85;3;False
315;Roselia;Planta;Venenoso;400;60;45;100;80;65;3;False
316;Gulpin;Venenoso;;302;43;53;43;53;40;3;False
317;Swalot;Venenoso;;467;73;83;73;83;55;3;False
318;Carvanha;Agua;Noturno;305;90;20;65;20;65;3;False
319;Sharpedo;Agua;Noturno;460;120;40;95;40;95;3;False
319;SharpedoMega Sharpedo;Agua;Noturno;560;140;70;110;65;105;3;False
320;Wailmer;Agua;;400;70;35;70;35;60;3;False
321;Wailord;Agua;;500;90;45;90;45;60;3;False
322;Numel;Fogo;Terra;305;60;40;65;45;35;3;False
323;Camerupt;Fogo;Terra;460;100;70;105;75;40;3;False
323;CameruptMega Camerupt;Fogo;Terra;560;120;100;145;105;20;3;False
324;Torkoal;Fogo;;470;85;140;85;70;20;3;False
325;Spoink;Psiquico;;330;25;35;70;80;60;3;False
326;Grumpig;Psiquico;;470;45;65;90;110;80;3;False
327;Spinda;Normal;;360;60;60;60;60;60;3;False
328;Trapinch;Terra;;290;100;45;45;45;10;3;False
329;Vibrava;Terra;Dragao;340;70;50;50;50;70;3;False
330;Flygon;Terra;Dragao;520;100;80;80;80;100;3;False
331;Cacnea;Planta;;335;85;40;85;40;35;3;False
332;Cacturne;Planta;Noturno;475;115;60;115;60;55;3;False
333;Swablu;Normal;Voador;310;40;60;40;75;50;3;False
334;Altaria;Dragao;Voador;490;70;90;70;105;80;3;False
334;AltariaMega Altaria;Dragao;Fada;590;110;110;110;105;80;3;False
335;Zangoose;Normal;;458;115;60;60;60;90;3;False
336;Seviper;Venenoso;;458;100;60;100;60;65;3;False
337;Lunatone;Pedra;Psiquico;440;55;65;95;85;70;3;False
338;SolPedra;Pedra;Psiquico;440;95;85;55;65;70;3;False
339;Barboach;Agua;Terra;288;48;43;46;41;60;3;False
340;Whiscash;Agua;Terra;468;78;73;76;71;60;3;False
341;Corphish;Agua;;308;80;65;50;35;35;3;False
342;Crawdaunt;Agua;Noturno;468;120;85;90;55;55;3;False
343;Baltoy;Terra;Psiquico;300;40;55;40;70;55;3;False
344;Claydol;Terra;Psiquico;500;70;105;70;120;75;3;False
345;Lileep;Pedra;Planta;355;41;77;61;87;23;3;False
346;Cradily;Pedra;Planta;495;81;97;81;107;43;3;False
347;Anorith;Pedra;Inseto;355;95;50;40;50;75;3;False
348;Armaldo;Pedra;Inseto;495;125;100;70;80;45;3;False
349;Feebas;Agua;;200;15;20;10;55;80;3;False
350;Milotic;Agua;;540;60;79;100;125;81;3;False
351;Castform;Normal;;420;70;70;70;70;70;3;False
352;Kecleon;Normal;;440;90;70;60;120;40;3;False
353;Shuppet;Fantasma;;295;75;35;63;33;45;3;False
354;Banette;Fantasma;;455;115;65;83;63;65;3;False
354;BanetteMega Banette;Fantasma;;555;165;75;93;83;75;3;False
355;Duskull;Fantasma;;295;40;90;30;90;25;3;False
356;Dusclops;Fantasma;;455;70;130;60;130;25;3;False
357;Tropius;Planta;Voador;460;68;83;72;87;51;3;False
358;Chimecho;Psiquico;;425;50;70;95;80;65;3;False
359;Absol;Noturno;;465;130;60;75;60;75;3;False
359;AbsolMega Absol;Noturno;;565;150;60;115;60;115;3;False
360;Wynaut;Psiquico;;260;23;48;23;48;23;3;False
361;Snorunt;Gelo;;300;50;50;50;50;50;3;False
362;Glalie;Gelo;;480;80;80;80;80;80;3;False
362;GlalieMega Glalie;Gelo;;580;120;80;120;80;100;3;False
363;Spheal;Gelo;Agua;290;40;50;55;50;25;3;False
364;Sealeo;Gelo;Agua;410;60;70;75;70;45;3;False
365;Walrein;Gelo;Agua;530;80;90;95;90;65;3;False
366;Clamperl;Agua;;345;64;85;74;55;32;3;False
367;Huntail;Agua;;485;104;105;94;75;52;3;False
368;Gorebyss;Agua;;485;84;105;114;75;52;3;False
369;Relicanth;Agua;Pedra;485;90;130;45;65;55;3;False
370;Luvdisc;Agua;;330;30;55;40;65;97;3;False
371;Bagon;Dragao;;300;75;60;40;30;50;3;False
372;Shelgon;Dragao;;420;95;100;60;50;50;3;False
373;Salamence;Dragao;Voador;600;135;80;110;80;100;3;False
373;SalamenceMega Salamence;Dragao;Voador;700;145;130;120;90;120;3;False
374;Beldum;Metalico;Psiquico;300;55;80;35;60;30;3;False
375;Metang;Metalico;Psiquico;420;75;100;55;80;50;3;False
376;Metagross;Metalico;Psiquico;600;135;130;95;90;70;3;False
376;MetagrossMega Metagross;Metalico;Psiquico;700;145;150;105;110;110;3;False
377;RegiPedra;Pedra;;580;100;200;50;100;50;3;True
378;RegGelo;Gelo;;580;50;100;100;200;50;3;True
379;RegiMetalico;Metalico;;580;75;150;75;150;50;3;True
380;Latias;Dragao;Psiquico;600;80;90;110;130;110;3;True
380;LatiasMega Latias;Dragao;Psiquico;700;100;120;140;150;110;3;True
381;Latios;Dragao;Psiquico;600;90;80;130;110;110;3;True
381;LatiosMega Latios;Dragao;Psiquico;700;130;100;160;120;110;3;True
382;Kyogre;Agua;;670;100;90;150;140;90;3;True
382;KyogrePrimal Kyogre;Agua;;770;150;90;180;160;90;3;True
383;Groudon;Terra;;670;150;140;100;90;90;3;True
383;GroudonPrimal Groudon;Terra;Fogo;770;180;160;150;90;90;3;True
384;Rayquaza;Dragao;Voador;680;150;90;150;90;95;3;True
384;RayquazaMega Rayquaza;Dragao;Voador;780;180;100;180;100;115;3;True
385;Jirachi;Metalico;Psiquico;600;100;100;100;100;100;3;True
386;DeoxysNormal Forme;Psiquico;;600;150;50;150;50;150;3;True
386;DeoxysAttack Forme;Psiquico;;600;180;20;180;20;150;3;True
386;DeoxysDefense Forme;Psiquico;;600;70;160;70;160;90;3;True
386;DeoxysSpeed Forme;Psiquico;;600;95;90;95;90;180;3;True
387;Turtwig;Planta;;318;68;64;45;55;31;4;False
388;Grotle;Planta;;405;89;85;55;65;36;4;False
389;Torterra;Planta;Terra;525;109;105;75;85;56;4;False
